english,translation,category,difficulty
Can I have a discount?,Posso avere uno sconto?,Shopping,beginner
Is this on sale?,È in saldo?,Shopping,beginner
Can I pay by card?,Posso pagare con la carta?,Shopping,beginner
Do you accept dollars?,Accettate dollari?,Shopping,beginner
Where is the fitting room?,Dov'è il camerino?,Shopping,beginner
I'm just looking,Sto solo guardando,Shopping,beginner
Can I have a receipt?,Posso avere una ricevuta?,Shopping,beginner
What's your return policy?,Qual è la vostra politica di reso?,Shopping,intermediate
Do you have this in other colors?,Avete questo in altri colori?,Shopping,beginner
Is this the best price?,È il prezzo migliore?,Shopping,intermediate
Can I exchange this?,Posso cambiarlo?,Shopping,intermediate
Where can I find...?,Dove posso trovare...?,Shopping,beginner
What time do you close?,A che ora chiudete?,Shopping,beginner
Do you have a bigger size?,Ha una taglia più grande?,Shopping,beginner
This is too expensive,Questo è troppo caro,Shopping,beginner
I'll take it,Lo prendo,Shopping,beginner
I need a room for tonight,Ho bisogno di una camera per stasera,Accommodation,beginner
Do you have availability?,Avete disponibilità?,Accommodation,beginner
How much per night?,Quanto a notte?,Accommodation,beginner
I have a reservation,Ho una prenotazione,Accommodation,beginner
Can I see the room first?,Posso vedere prima la camera?,Accommodation,intermediate
Is breakfast included?,La colazione è inclusa?,Accommodation,beginner
What time is check-out?,A che ora è il check-out?,Accommodation,beginner
Can I have a wake-up call?,Posso avere una sveglia telefonica?,Accommodation,intermediate
Is there WiFi?,C'è il WiFi?,Accommodation,beginner
What's the WiFi password?,Qual è la password del WiFi?,Accommodation,beginner
Can I have extra towels?,Posso avere degli asciugamani in più?,Accommodation,beginner
The air conditioning doesn't work,L'aria condizionata non funziona,Accommodation,intermediate
Can I change rooms?,Posso cambiare camera?,Accommodation,intermediate
Is there a safe in the room?,C'è una cassaforte in camera?,Accommodation,intermediate
What time does the pool close?,A che ora chiude la piscina?,Accommodation,intermediate
Can I extend my stay?,Posso prolungare il mio soggiorno?,Accommodation,intermediate
Is there room service?,C'è il servizio in camera?,Accommodation,intermediate
Can you call me a taxi?,Può chiamarmi un taxi?,Accommodation,beginner
Where can I park?,Dove posso parcheggiare?,Accommodation,beginner
Can I have the key?,Posso avere la chiave?,Accommodation,beginner
